team_raw,action,start,end,half,pos_x,pos_y,source_layer
Galatasaray (29205),Başarılı İleri Paslar,203.55,215.55,1,41.03,21.89,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),203.55,215.55,1,41.03,21.89,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,203.55,215.55,1,41.03,21.89,(2)_timeline
Galatasaray (29205),Set Hücumları,203.55,232.55,1,56.92,16.37,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),209.55,221.55,1,48.8,39.11,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,209.55,221.55,1,48.8,39.11,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,211.55,223.55,1,49.39,16.63,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),211.55,223.55,1,49.39,16.63,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,211.55,223.55,1,49.39,16.63,(2)_timeline
Galatasaray (29205),İsabetli İlerletici Paslar,211.55,223.55,1,49.39,16.63,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),214.55,226.55,1,66.84,5.85,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,214.55,226.55,1,66.84,5.85,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),217.55,229.55,1,61.58,15.84,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,217.55,229.55,1,61.58,15.84,(2)_timeline
Galatasaray (29205),Başarısız İleri Paslar,223.55,235.55,1,64.57,47.0,(2)_timeline
Galatasaray (29205),Başarısız İlerletici Paslar,223.55,235.55,1,64.57,47.0,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),223.55,235.55,1,64.57,47.0,(2)_timeline
Galatasaray (29205),Top Kaybı,223.55,235.55,1,87.75,23.34,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,223.55,235.55,1,64.57,47.0,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,224.55,236.55,1,15.1,38.75,(2)_timeline
Caykur Rizespor (62850),Geri Kazanılan Toplar,224.55,236.55,1,15.1,38.75,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),224.55,236.55,1,15.1,38.75,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,224.55,236.55,1,15.1,38.75,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),225.55,237.55,1,30.51,42.69,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,225.55,237.55,1,30.51,42.69,(2)_timeline
Caykur Rizespor (62850),Başarılı driplingler,227.55,239.55,1,33.86,24.42,(2)_timeline
Caykur Rizespor (62850),Başarılı İkili Mücadeleler,227.55,239.55,1,33.86,24.42,(2)_timeline
Galatasaray (29205),Başarısız Top Kapma,227.55,239.55,1,33.86,24.42,(2)_timeline
Galatasaray (29205),Başarısız İkili Mücadeleler,227.55,239.55,1,33.86,24.42,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,228.55,240.55,1,38.76,25.73,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),228.55,240.55,1,38.76,25.73,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,228.55,240.55,1,38.76,25.73,(2)_timeline
Caykur Rizespor (62850),Kontra Ataklar,228.55,242.55,1,15.1,38.75,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),229.55,241.55,1,45.45,29.67,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,229.55,241.55,1,45.45,29.67,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,230.55,242.55,1,37.09,31.25,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),230.55,242.55,1,37.09,31.25,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,230.55,242.55,1,37.09,31.25,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,230.55,242.55,1,37.09,31.25,(2)_timeline
Caykur Rizespor (62850),Başarısız İleri Paslar,232.55,244.55,1,55.61,53.21,(2)_timeline
Caykur Rizespor (62850),Başarısız İlerletici Paslar,232.55,244.55,1,55.61,53.21,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),232.55,244.55,1,55.61,53.21,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,232.55,244.55,1,55.61,53.21,(2)_timeline
Caykur Rizespor (62850),Ofsaytlar,234.55,246.55,1,70.9,55.97,(2)_timeline
Caykur Rizespor (62850),Top Kaybı,234.55,246.55,1,70.9,55.97,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),264.55,276.55,1,40.67,34.77,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,264.55,276.55,1,40.67,34.77,(2)_timeline
Galatasaray (29205),Set Hücumları,268.55,329.55,1,40.67,34.77,(2)_timeline
Galatasaray (29205),Başarısız Uzun Toplar,269.55,281.55,1,53.81,16.5,(2)_timeline
Galatasaray (29205),Uzun Kale Vuruşları (40+ mt),269.55,281.55,1,53.81,16.5,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,269.55,281.55,1,53.81,16.5,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),272.55,284.55,1,34.46,4.82,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,272.55,284.55,1,34.46,4.82,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),275.55,287.55,1,68.15,53.32,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,275.55,287.55,1,68.15,53.32,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,277.55,289.55,1,57.52,61.86,(2)_timeline
Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),277.55,289.55,1,57.52,61.86,(2)_timeline
Galatasaray (29205),Paslar adresi bulanlar,277.55,289.55,1,57.52,61.86,(2)_timeline
Galatasaray (29205),Başarılı İleri Paslar,282.55,294.55,1,61.58,53.58,(2)_timeline
