id,team,action,start,end,half,pos_x,pos_y
3283,Galatasaray (29205),Set Hücumları,5028.27,5048.27,2,69.71,8.05
3284,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),5031.27,5043.27,2,67.67,32.64
3285,Galatasaray (29205),Paslar adresi bulanlar,5031.27,5043.27,2,67.67,32.64
3286,Galatasaray (29205),Başarılı İleri Paslar,5035.27,5047.27,2,77.59,57.49
3287,Galatasaray (29205),Ceza sahasına / İsabetli,5035.27,5047.27,2,77.59,57.49
3288,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),5035.27,5047.27,2,77.59,57.49
3289,Galatasaray (29205),Paslar adresi bulanlar,5035.27,5047.27,2,77.59,57.49
3290,Galatasaray (29205),İsabetli İlerletici Paslar,5035.27,5047.27,2,77.59,57.49
3291,Caykur Rizespor (62850),Başarılı Top Kapma,5040.27,5052.27,2,9.36,28.0
3292,Caykur Rizespor (62850),Başarılı İkili Mücadeleler,5040.27,5052.27,2,9.36,28.0
3293,Caykur Rizespor (62850),Başarılı İleri Paslar,5040.27,5052.27,2,9.36,28.0
3294,Galatasaray (29205),Başarısız İkili Mücadeleler,5040.27,5052.27,2,9.36,28.0
3295,Caykur Rizespor (62850),Geri Kazanılan Toplar,5040.27,5052.27,2,9.36,28.0
3296,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),5040.27,5052.27,2,9.36,28.0
3297,Caykur Rizespor (62850),Paslar adresi bulanlar,5040.27,5052.27,2,9.36,28.0
3298,Galatasaray (29205),Top Kaybı,5040.27,5052.27,2,95.64,40.0
3299,Caykur Rizespor (62850),Başarılı İleri Paslar,5044.27,5056.27,2,19.64,9.06
3300,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),5044.27,5056.27,2,19.64,9.06
3301,Caykur Rizespor (62850),Paslar adresi bulanlar,5044.27,5056.27,2,19.64,9.06
3302,Caykur Rizespor (62850),İsabetli İlerletici Paslar,5044.27,5056.27,2,19.64,9.06
3303,Caykur Rizespor (62850),Kötü top kontrolü,5047.27,5059.27,2,43.54,21.82
3304,Caykur Rizespor (62850),Top Kaybı,5047.27,5059.27,2,43.54,21.82
3305,Caykur Rizespor (62850),Top kayıpları / kendi yarı sahasında,5047.27,5059.27,2,43.54,21.82
3306,Galatasaray (29205),Başarılı İleri Paslar,5048.27,5060.27,2,73.17,45.39
3307,Galatasaray (29205),Geri Kazanılan Toplar,5048.27,5060.27,2,73.17,45.39
3308,Galatasaray (29205),Kısa Kale Vuruşları (0-10 mt),5048.27,5060.27,2,73.17,45.39
3309,Galatasaray (29205),Paslar adresi bulanlar,5048.27,5060.27,2,73.17,45.39
3310,Galatasaray (29205),Rakip sahada geri kazanılan toplar,5048.27,5060.27,2,73.17,45.39
3311,Galatasaray (29205),Direkten dönen şutlar,5051.27,5063.27,2,85.24,34.88
3312,Galatasaray (29205),Pozisyonlar,5051.27,5063.27,2,85.24,34.88
3313,Galatasaray (29205),Şut,5051.27,5063.27,2,85.24,34.88
3314,Galatasaray (29205),Set Hücumları,5052.27,5062.27,2,73.17,45.39
3315,Galatasaray (29205),Şutla biten set hücumları,5052.27,5062.27,2,73.17,45.39
