ID;start;end;code;team;action;half;pos_x;pos_y
1051;1844.55;1856.55;10. Ibrahim Olawoyin (1079289) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;76.64;4.95
1052;1844.55;1856.55;10. Ibrahim Olawoyin (1079289) - İsabetli İlerletici Paslar;Caykur Rizespor (62850);İsabetli İlerletici Paslar;1;76.64;4.95
1053;1847.55;1859.55;37. Taha Şahin (1275421) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;83.93;5.09
1054;1849.55;1861.55;10. Ibrahim Olawoyin (1079289) - Başarısız Ceza Sahasına Paslar;Caykur Rizespor (62850);Başarısız Ceza Sahasına Paslar;1;80.82;12.06
1055;1849.55;1861.55;10. Ibrahim Olawoyin (1079289) - Başarısız İleri Paslar;Caykur Rizespor (62850);Başarısız İleri Paslar;1;80.82;12.06
1056;1849.55;1861.55;10. Ibrahim Olawoyin (1079289) - Başarısız İlerletici Paslar;Caykur Rizespor (62850);Başarısız İlerletici Paslar;1;80.82;12.06
1057;1849.55;1861.55;10. Ibrahim Olawoyin (1079289) - İsabetsiz Ortalar;Caykur Rizespor (62850);İsabetsiz Ortalar;1;80.82;12.06
1058;1849.55;1861.55;10. Ibrahim Olawoyin (1079289) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;1;80.82;12.06
1059;1850.55;1862.55;6. Davinson Sánchez (1647732) - Başarısız İleri Paslar;Galatasaray (29205);Başarısız İleri Paslar;1;8.89;35.56
1060;1850.55;1862.55;6. Davinson Sánchez (1647732) - İsabetsiz paslar;Galatasaray (29205);İsabetsiz paslar;1;8.89;35.56
1061;1855.55;1867.55;4. Attila Mocsi (981916) - Başarılı İleri Paslar;Caykur Rizespor (62850);Başarılı İleri Paslar;1;60.51;16.13
1062;1855.55;1867.55;4. Attila Mocsi (981916) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;60.51;16.13
1063;1855.55;1876.55;4. Attila Mocsi (981916) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;78.91;24.55
1064;1855.55;1876.55;5. Casper Højer (628857) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;78.91;24.55
1065;1855.55;1876.55;7. Valentin Mihăilă (967060) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;78.91;24.55
1066;1855.55;1876.55;14. Taylan Antalyalı (74432) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;78.91;24.55
1067;1855.55;1876.55;20. Qazim Laçi (808862) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;78.91;24.55
1068;1860.55;1872.55;14. Taylan Antalyalı (74432) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;66.6;32.44
1069;1863.55;1875.55;5. Casper Højer (628857) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;58.35;49.66
1070;1864.55;1876.55;7. Valentin Mihăilă (967060) - Top Taşıma;Caykur Rizespor (62850);Top Taşıma;1;65.64;65.05
1071;1867.55;1879.55;7. Valentin Mihăilă (967060) - Top Kaybı;Caykur Rizespor (62850);Top Kaybı;1;81.18;49.0
1072;1867.55;1879.55;7. Valentin Mihăilă (967060) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;1;78.31;56.76
1073;1868.55;1880.55;34. Lucas Torreira (1469956) - Geri Kazanılan Toplar;Galatasaray (29205);Geri Kazanılan Toplar;1;23.82;19.0
1074;1873.55;1885.55;6. Davinson Sánchez (1647732) - Başarılı İleri Paslar;Galatasaray (29205);Başarılı İleri Paslar;1;9.01;19.0
1075;1873.55;1885.55;6. Davinson Sánchez (1647732) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;9.01;19.0
1076;1873.55;1902.55;6. Davinson Sánchez (1647732) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;13.55;22.68
1077;1873.55;1902.55;7. Roland Sallai (1282353) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;13.55;22.68
1078;1873.55;1902.55;11. Yunus Akgün (27735) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;13.55;22.68
1079;1873.55;1902.55;34. Lucas Torreira (1469956) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;13.55;22.68
1080;1873.55;1902.55;45. Victor Osimhen (1093704) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;13.55;22.68
1081;1873.55;1902.55;53. Barış Alper Yılmaz (1589859) - Kontra Atak Oyunu;Galatasaray (29205);Kontra Atak Oyunu;1;13.55;22.68
